expID	subjectNo	expNo	expType	date	time
s2e11td	2	11	td	NA	NA
s2e23td	2	23	td	NA	NA
s2e35td	2	35	td	NA	NA
s2e12td	2	12	td	NA	NA
s2e34td	2	34	td	NA	NA
s2e26td	2	26	td	NA	NA
s2e33td	2	33	td	NA	NA
s2e10td	2	10	td	NA	NA
s2e18tr	2	18	tr	NA	NA
s2e31td	2	31	td	NA	NA
s2e22td	2	22	td	NA	NA
s2e5td	2	5	td	NA	NA
s2e21td	2	21	td	NA	NA
s2e29td	2	29	td	NA	NA
s2e25td	2	25	td	NA	NA
s2e32td	2	32	td	NA	NA
s2e4td	2	4	td	NA	NA
s2e36bp	2	36	bp	NA	NA
s2e6td	2	6	td	NA	NA
s2e15td	2	15	td	NA	NA
s2e20td	2	20	td	NA	NA
s47e8rk	47	8	rk	NA	NA
s47e6st	47	6	st	2012-10-20	13:51:50
s47e4ir	47	4	ir	NA	NA
s47e13vi	47	13	vi	NA	NA
s47e5ir	47	5	ir	NA	NA
s47e9rk	47	9	rk	NA	NA
s47e10cf	47	10	cf	NA	NA
s47e2td	47	2	td	NA	NA
s47e1td	47	1	td	NA	NA
s47e12sr	47	12	sr	2012-10-21	15:11:01
s47e3ir	47	3	ir	NA	NA
s42e16ef	42	16	ef	2012-08-21	19:51:38
s42e3ir	42	3	ir	NA	NA
s42e6sr	42	6	sr	2012-08-18	16:40:35
s42e4ir	42	4	ir	NA	NA
s42e7st	42	7	st	NA	NA
s42e14cf	42	14	cf	NA	NA
s42e2ir	42	2	ir	NA	NA
s42e8rk	42	8	rk	NA	NA
s42e15ef	42	15	ef	2012-08-21	16:15:20
s42e13rk	42	13	rk	NA	NA
s42e10rk	42	10	rk	NA	NA
s42e5vi	42	5	vi	NA	NA
s42e19rk	42	19	rk	NA	NA
s42e1td	42	1	td	NA	NA
s42e12ef	42	12	ef	NA	NA
s42e9cf	42	9	cf	NA	NA
s42e11ef	42	11	ef	2012-08-20	12:26:36
s11e3cr	11	3	cr	NA	NA
s11e17vt	11	17	vt	NA	NA
s11e6rg	11	6	rg	NA	NA
s11e16cr	11	16	cr	NA	NA
s11e10cr	11	10	cr	2009-03-27	12:01:16
s11e13cr	11	13	cr	NA	NA
s11e5vt	11	5	vt	NA	NA
s11e14sc	11	14	sc	NA	NA
s11e2td	11	2	td	NA	NA
s11e7sp	11	7	sp	NA	NA
s11e11rg	11	11	rg	NA	NA
s11e15rg	11	15	rg	NA	NA
s11e8sc	11	8	sc	NA	NA
s11e4sc	11	4	sc	NA	NA
s11e1td	11	1	td	NA	NA
s11e12sp	11	12	sp	NA	NA
s11e9sc	11	9	sc	NA	NA
s45e5ir	45	5	ir	NA	NA
s45e7ir	45	7	ir	NA	NA
s45e13rk	45	13	rk	NA	NA
s45e9st	45	9	st	2012-09-30	13:22:12
s45e6ir	45	6	ir	NA	NA
s45e11cf	45	11	cf	NA	NA
s45e2td	45	2	td	NA	NA
s45e12vi	45	12	vi	NA	NA
s45e4rk	45	4	rk	NA	NA
s45e8rk	45	8	rk	NA	NA
s45e10rk	45	10	rk	NA	NA
s45e1td	45	1	td	NA	NA
s54e2td	54	2	td	NA	NA
s54e7sr	54	7	sr	2014-09-21	18:33:50
s54e6ei	54	6	ei	NA	NA
s54e4ei	54	4	ei	NA	NA
s54e1td	54	1	td	NA	NA
s54e8ei	54	8	ei	NA	NA
s54e5bl	54	5	bl	NA	NA
s54e3st	54	3	st	NA	NA
s48e5ir	48	5	ir	NA	NA
s48e7st	48	7	st	2013-01-12	16:31:05
s48e3ir	48	3	ir	NA	NA
s48e11vi	48	11	vi	NA	NA
s48e9cf	48	9	cf	NA	NA
s48e2rk	48	2	rk	NA	NA
s48e12cf	48	12	cf	NA	NA
s48e13ef	48	13	ef	2013-01-15	12:16:33
s48e1td	48	1	td	NA	NA
s48e10sr	48	10	sr	2013-01-13	16:51:22
s48e4ir	48	4	ir	NA	NA
s24e2rp	24	2	rp	2010-10-07	15:54:43
s24e1td	24	1	td	NA	NA
s24e5cc	24	5	cc	NA	NA
s24e3cr	24	3	cr	2010-10-07	16:08:58
s24e4cc	24	4	cc	2010-10-09	16:20:22
s14e1td	14	1	td	NA	NA
s14e26rp	14	26	rp	2009-06-15	18:14:56
s14e2rp	14	2	rp	2009-06-11	18:24:48
s14e28rp	14	28	rp	2009-06-16	10:18:24
s14e13cr	14	13	cr	2009-06-12	21:37:20
s14e17cr	14	17	cr	NA	NA
s14e10af	14	10	af	NA	NA
s14e23rp	14	23	rp	2009-06-15	15:30:53
s14e6sc	14	6	sc	NA	NA
s14e22sc	14	22	sc	NA	NA
s14e8cr	14	8	cr	2009-06-12	14:24:09
s14e11bp	14	11	bp	NA	NA
s14e20ef	14	20	ef	NA	NA
s14e24ef	14	24	ef	NA	NA
s14e25rg	14	25	rg	NA	NA
s14e9ef	14	9	ef	NA	NA
s14e21cr	14	21	cr	NA	NA
s14e16rp	14	16	rp	2009-06-13	14:28:18
s14e19cr	14	19	cr	NA	NA
s14e15af	14	15	af	NA	NA
s14e14ef	14	14	ef	NA	NA
s14e7rp	14	7	rp	2009-06-12	10:47:38
s14e3td	14	3	td	NA	NA
s14e4cr	14	4	cr	2009-06-11	20:18:33
s14e18rp	14	18	rp	2009-06-14	17:13:08
s14e27cr	14	27	cr	NA	NA
s14e12rg	14	12	rg	NA	NA
s31e6ir	31	6	ir	2011-04-22	11:45:28
s31e2td	31	2	td	NA	NA
s31e4ir	31	4	ir	2011-04-21	15:44:06
s31e3ir	31	3	ir	2011-04-21	11:07:28
s31e16rk	31	16	rk	NA	NA
s31e1td	31	1	td	NA	NA
s31e14sr	31	14	sr	2011-04-25	18:06:00
s31e11rk	31	11	rk	NA	NA
s31e9cf	31	9	cf	2011-04-23	11:35:00
s31e13cf	31	13	cf	2011-04-25	15:15:39
s31e5cf	31	5	cf	2011-04-21	16:06:12
s31e7rk	31	7	rk	NA	NA
s31e10rp	31	10	rp	2011-04-23	13:24:41
s31e17cf	31	17	cf	2011-04-26	17:36:20
s31e12ef	31	12	ef	2011-04-25	12:43:44
s31e15rp	31	15	rp	2011-04-26	12:20:48
s31e8ef	31	8	ef	2011-04-22	18:04:06
s9e23td	9	23	td	NA	NA
s9e5td	9	5	td	NA	NA
s9e26td	9	26	td	NA	NA
s9e13td	9	13	td	NA	NA
s9e20td	9	20	td	NA	NA
s9e18td	9	18	td	NA	NA
s9e11td	9	11	td	NA	NA
s9e24td	9	24	td	NA	NA
s9e9td	9	9	td	NA	NA
s9e6td	9	6	td	NA	NA
s9e16td	9	16	td	NA	NA
s9e4td	9	4	td	NA	NA
s9e14td	9	14	td	NA	NA
s9e10td	9	10	td	NA	NA
s9e7sc	9	7	sc	NA	NA
s9e12td	9	12	td	NA	NA
s9e15td	9	15	td	NA	NA
s9e22td	9	22	td	NA	NA
s9e21td	9	21	td	NA	NA
s9e3cr	9	3	cr	NA	NA
s9e1td	9	1	td	NA	NA
s9e19td	9	19	td	NA	NA
s9e8rg	9	8	rg	NA	NA
s9e2td	9	2	td	NA	NA
s9e17td	9	17	td	NA	NA
s9e25td	9	25	td	NA	NA
s5e10hm	5	10	hm	NA	NA
s5e21vt	5	21	vt	NA	NA
s5e22rg	5	22	rg	NA	NA
s5e25hm	5	25	hm	NA	NA
s5e23bl	5	23	bl	NA	NA
s5e3td	5	3	td	NA	NA
s5e12em	5	12	em	NA	NA
s5e2td	5	2	td	NA	NA
s5e7td	5	7	td	NA	NA
s5e1td	5	1	td	NA	NA
s5e5td	5	5	td	NA	NA
s5e8vt	5	8	vt	NA	NA
s5e13rg	5	13	rg	NA	NA
s5e6td	5	6	td	NA	NA
s5e11em	5	11	em	NA	NA
s5e9hp	5	9	hp	NA	NA
s5e15vt	5	15	vt	NA	NA
s5e16af	5	16	af	NA	NA
s5e4td	5	4	td	NA	NA
s5e19bp	5	19	bp	NA	NA
s5e17bp	5	17	bp	NA	NA
s5e18rg	5	18	rg	NA	NA
s5e14rg	5	14	rg	NA	NA
s5e24em	5	24	em	NA	NA
s5e20vt	5	20	vt	NA	NA
s10e18rg	10	18	rg	NA	NA
s10e17td	10	17	td	NA	NA
s10e7td	10	7	td	NA	NA
s10e1td	10	1	td	NA	NA
s10e9td	10	9	td	NA	NA
s10e13sp	10	13	sp	NA	NA
s10e4td	10	4	td	NA	NA
s10e12ef	10	12	ef	NA	NA
s10e5td	10	5	td	NA	NA
s10e8cr	10	8	cr	NA	NA
s10e6td	10	6	td	NA	NA
s10e3td	10	3	td	NA	NA
s10e2td	10	2	td	NA	NA
s10e16td	10	16	td	NA	NA
s10e11sc	10	11	sc	NA	NA
s10e10td	10	10	td	NA	NA
s10e14td	10	14	td	NA	NA
s10e15td	10	15	td	NA	NA
s22e6sr	22	6	sr	2010-07-16	12:36:46
s22e3td	22	3	td	NA	NA
s22e2td	22	2	td	NA	NA
s22e1td	22	1	td	NA	NA
s22e10td	22	10	td	NA	NA
s22e9td	22	9	td	NA	NA
s22e8td	22	8	td	NA	NA
s22e4td	22	4	td	NA	NA
s22e11oi	22	11	oi	2010-07-17	16:39:59
s22e7td	22	7	td	NA	NA
s22e5cc	22	5	cc	2010-07-15	15:01:06
s40e5bl	40	5	bl	2012-03-03	15:18:18
s40e8ef	40	8	ef	2012-03-05	10:45:55
s40e3ir	40	3	ir	2012-03-02	18:00:42
s40e2ir	40	2	ir	2012-03-02	10:43:33
s40e4ir	40	4	ir	2012-03-03	10:40:53
s40e1td	40	1	td	NA	NA
s40e6vi	40	6	vi	NA	NA
s40e10cf	40	10	cf	NA	NA
s40e7cf	40	7	cf	NA	NA
s40e11rp	40	11	rp	NA	NA
s40e9sr	40	9	sr	2012-03-06	11:59:53
s53e9sr	53	9	sr	2014-09-01	10:52:39
s53e10cf	53	10	cf	NA	NA
s53e2st	53	2	st	NA	NA
s53e3ei	53	3	ei	NA	NA
s53e6cf	53	6	cf	NA	NA
s53e5ei	53	5	ei	NA	NA
s53e8cf	53	8	cf	NA	NA
s53e1td	53	1	td	NA	NA
s53e4ei	53	4	ei	NA	NA
s53e7st	53	7	st	NA	NA
s6e12sp	6	12	sp	NA	NA
s6e6sc	6	6	sc	NA	NA
s6e7rg	6	7	rg	NA	NA
s6e4sc	6	4	sc	NA	NA
s6e11af	6	11	af	NA	NA
s6e3vt	6	3	vt	NA	NA
s6e5sc	6	5	sc	NA	NA
s6e8sc	6	8	sc	NA	NA
s6e2td	6	2	td	NA	NA
s6e10sc	6	10	sc	NA	NA
s6e1td	6	1	td	NA	NA
s6e9sp	6	9	sp	NA	NA
s28e6cf	28	6	cf	2011-01-13	17:15:33
s28e15rp	28	15	rp	2011-01-18	10:53:09
s28e14cc	28	14	cc	2011-01-17	15:02:48
s28e11cf	28	11	cf	2011-01-15	11:49:12
s28e16cr	28	16	cr	2011-01-18	11:21:03
s28e2td	28	2	td	NA	NA
s28e13cr	28	13	cr	NA	NA
s28e4td	28	4	td	NA	NA
s28e7sr	28	7	sr	2011-01-13	18:56:44
s28e3td	28	3	td	NA	NA
s28e10oi	28	10	oi	2011-01-14	16:45:04
